doc_id,pdf_url,motivation,Motivations (select),Done
1,http://ieeexplore.ieee.org/document/6853739/,Unspecified,Unspecified,TRUE
2,https://www.isca-archive.org/interspeech_2018/huang18b_interspeech.html,"""Emotion recognition has been attracting increasing attention recently, owing to its essential role in human behavioral signal processing""","Affective computing/HCI, Prior work",TRUE
3,https://arxiv.org/pdf/2203.08810.pdf,"""Speech emotion recognition (SER) has gained enormous interest in many diverse applications such as smart virtual assistants [1], medical diagnoses [2, 3], and education [4].""","HCI: Chatbots, Other / misc",TRUE
4,https://www.isca-archive.org/interspeech_2012/sun12c_interspeech.html,"No motivation of SER, motivation is drawing from other SER work: ""While the majority of traditional research in emotional speech recognition has utilized a single database for analysis, it is becoming clear that the lack of sufficiently large databases with varied emotion types is a significant hindrance to the design of a robust emotion classification system.""",Prior work,TRUE
5,https://epublications.marquette.edu/cgi/viewcontent.cgi?article=1008&context=data_drdolittle,"""This task has application to a number of important areas, including security systems, lie detection, video games and psychiatric aid, among others.""","Healthcare: Mental health, Other / misc, Security",TRUE
6,http://bth.diva-portal.org/smash/get/diva2:1460935/FULLTEXT01,"""Lesions in the brain getting in the way of thevspeech program can cause failures in the production of emotive speech at prosodic or segmental levels....In many disorders, emotive speech is sensitive to
disease progression and recovery. In other words, it is a good candidate biomarker to be included into the panel of others that are taken into account.""",Healthcare: Neurological disorders,TRUE
7,https://arxiv.org/pdf/2305.19184.pdf,"""Speech signals carry rich information on an individual’s emotional states, expressed through both paralinguistic and semantic cues.""",Affective computing/HCI,TRUE
8,https://www.isca-archive.org/interspeech_2007/inanoglu07_interspeech.html,"""The ability to add emotions to synthesised neutral speech has
become a high priority for unit-selection frameworks which require very large training corpora in order to generate highly intelligible and natural outputs.""",,TRUE
9,http://ieeexplore.ieee.org/document/6163948/,"A long-term objective of text-to-speech (TTS) synthesis is to make synthetic speech as expressive as natural speech. In order to attain that goal, the speech produced must be emotionally congruent with the underlying textual input, at least to the extent that such congruence is perceptually salient. Given the current state of emotion detection from text, this is not yet within reach. For all practical purposes, however, it may be sufficient to avoid synthesizing speech with a grossly inappropriate emotional quality.",Other / misc,TRUE
10,https://ieeexplore.ieee.org/document/9186776/,"""Nowadays when some aspects of life are intertwined with the virtual world, it is increasingly important for the computer to understand not only what the human wants but also how the human “feels”, via their facial expressions, so that the machine is able to produce a meaningful, pleasant feedback.""
""Furthermore, the audio recording carries not only the contextual sound units (phonemes), but also emotions of the speaker reflected in speed or intensity of her speech. Hence, it is beneficial for the computer to comprehend emotional states of the speaker, for instance, to make a joke when it perceives the user is happy, in an imaginary mutual human-machine conversation.""",HCI: Chatbots,TRUE
11,https://www.isca-archive.org/interspeech_2023/cahyawijaya23_interspeech.html,"""Understanding human emotion is a crucial step towards better human-computer interaction [1, 2]. Most studies on
speech emotion recognition are centered on young-adult people,
mainly originating from English-speaking countries."" [HCI unspecified, limitations in prior work]","HCI: Chatbots, Affective computing/HCI",TRUE
12,https://www.isca-archive.org/interspeech_2020/chen20b_interspeech.html,"Understanding user intention is an essential factor in enriching user experience and it has become a hot topic in both research and industry areas. Just as people communicate with each other, speech plays a crucial role in capturing the explicit content messages and even the underlying intentions. That is because speech contains rich linguistic and para-linguistic information conveys the implicit information such as emotions [1]. Current techniques (such as [2]) have achieved high accuracy of recognizing the content from the speech utterance; however, it is not sufficient for HCI systems to fully understand the purpose and intention of the speaker. Para-linguistic information, especially emotions, can help HCI systems capture the real purpose and right feeling of speakers, thereby giving a better response. As a result, speech emotion recognition (SER) has received increasing attention.
[1] M. M. H. E. Ayadi, M. S. Kamel, and F. Karray, “Survey on
speech emotion recognition: Features, classification schemes, and
databases,” Pattern Recognition, vol. 44, no. 3, pp. 572–587,
2011.",HCI: Chatbots,TRUE
13,https://opus.bibliothek.uni-augsburg.de/opus4/files/79708/TAFFC3021015.pdf,,,TRUE
14,https://arxiv.org/pdf/2305.12263.pdf,Depression detection,Healthcare: Mental health,TRUE
15,https://www.isca-archive.org/eurospeech_2001/amir01_eurospeech.html,"Various recent studies have dealt with characterization of
emotional speech and automatic classification of emotional
utterances [1,2,3,4].",Prior work,TRUE
16,http://arxiv.org/pdf/2305.16065.pdf,"Speech Emotion Recognition (SER) has rapidly developed over the past two decades, and the research on the corpora, features, algorithms, and training models has boomed [1]. ...Although some researchers have also attempted to translate this approach into the wild, e.g., in-car voice systems [4], it is still rare to see SER applications in our daily lives. One of the major reasons is that the majority of SER research uses human annotation, i.e., gold-standard manual transcripts. In contrast, even for the ‘lab’ emotion corpora (e.g., IEMOCAP), transcripts from a state-of-the-art Automatic Speech Recognition (ASR) system can result in Word Error Rates (WERs) higher than 35%, depending on the emotion label [5]. This means that very few of the findings obtained in the lab can be replicated in the wild.",Prior work,TRUE
17,https://www.isca-archive.org/interspeech_2019/sahu19_interspeech.html,"It has applications in several
fields including building intelligent voice-assistants, psychiatry,
analysis of human interaction and other behavioral studies [1].
Affect recognition or emotion recognition is a well-researched
field and the results demonstrate that using speech features does
a better job at predicting arousal levels (intensity) than valence
(pleasantness) level of the utterance.","HCI: Chatbots, Affective computing/HCI, Healthcare: Mental health",TRUE
18,https://www.isca-archive.org/interspeech_2010/sanchez10_interspeech.html,"""we are interested in predicting the emotional status of 911 emergency-hotline
callers""","Call center / call screening, HCI: Chatbots, Other / misc",TRUE
19,https://opus.bibliothek.uni-augsburg.de/opus4/files/67139/i00_1665.pdf,"""In a call-center, such a system should be able to determine in a critical phase of the dialogue if the call should be passed over to a human operator.""",Call center / call screening,TRUE
20,https://arxiv.org/pdf/2207.02104.pdf,"However, the majority of this cross-corpus work has been
cross-lingual and occasionally both cross-lingual and crossage. In the past this has been arguably necessary given the
sparsity of emotional databases. But now with the introduction of larger datasets, such as the MOSEI database which
has around 65 hours of natural emotion data [20], more effort can be put on cross-corpus research focussing on a single
language and a single age group.",Prior work,TRUE
